,ID,Name,Location,Grade,Faculty_Title,"Join
Date",Study_Type,Divison,Reports To,"Highest
Qualification
Level",Highest Qualification,Major,University,Courses Taught- Term 201510,MAJOR TEACHING FIELD,Criteria
265,LT9254486,Tiesha Sergi ,Cambridge,FA,Faculty - Business,09-Sep-12,Full Time,Business,Olu Ebenezer,Masters,Master of Arts,Economics,Clemson Universityersity,"BUS2303 - Financial Management
LSS2103 - Personal Finance",Finances,Industry and Teaching experience
266,LT9025733,Chi Bashir ,Cambridge,FA,Faculty - Business,03-Aug-08,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Management,Amberton Universityersity,"BUS2303 - Financial Management
BUS4113 - Financial Accounting I
BUS1503 - Accounting for Managers",Finances,Industry and Teaching experience
267,LT9101464,Terrie Komar ,Cambridge,FA,Faculty - Business,02-Nov-14,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,Birla Institute of Tech & Sc.,"BSD2023 - Software Applications II
BUS1003 - Management and Leadership",Business,Industry and Teaching experience
268,LT9277043,Deandrea Laforest ,Cambridge,FA,Faculty - Business,18-Aug-13,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Agricultural  Economics,Universityersity of Guelph,"BSD2233 - Retail Marketing
BUS3406 - Work Related Learning
BSD2067 - Business Work Placement
BSD1223 - Marketing Principles",Management,Industry and Teaching experience
269,LT9216228,Theodore Zilnicki ,Cambridge,FA,Faculty - Business,30-Jan-11,Full Time,Business,Olu Ebenezer,Doctorate,Ph.D in Business Administration,Business Management,Birla Institute of Tech & Sc.,"BUS2203 - Business Stats for Managers
BUS4363 - Managing Organisational Change",Human Resources Management,Industry and Teaching experience
270,LT9309277,Charlotte Lafortune ,Cambridge,FA,Faculty - Business,30-Mar-15,Full Time,Business,Olu Ebenezer,Masters,Master of Science,Occupational Psychology,Universityersity of London,"BUS4333 - Recruitment and Selection
BUS3903 - Contemporary Business
BUS1403 - Business Ethics and Corporate",Business,Industry and Teaching experience
271,LT9276996,Blanche Carolan ,Cambridge,FA,Faculty - Business,18-Aug-13,Full Time,Business,Olu Ebenezer,Masters,Master of Science,Energy Management,Universityersity of Ulster,"BUS4583 - ISO Standards and Excellence
BUS3103 - Internat Busi Globalisation
BUS2403 - Innovation & Entrepreneurship",Entrepreneurship & Project Management,Industry and Teaching experience
272,LT9258013,Sigrid Malveaux ,Cambridge,FA,Faculty - Business,19-Aug-14,Full Time,Business,Olu Ebenezer,Masters,Master of Science,Business Management,Universityersity of the Punjab,"BUS1203 - Software Apps for Business
LSS2013 - The World of Work",Business  ,Industry and Teaching experience
273,LT9309285,Trista Mcmurry ,Cambridge,FA,Faculty - Business,01-Apr-15,Full Time,Business,Olu Ebenezer,Doctorate,Ph.D in Business Administration,Business Marketing,European Universityersity,"BUS3103 - Internat Busi Globalisation
BUS3203 - Strat Management Busi Simulation",Business,Industry and Teaching experience
274,LT9328812,Nancie Deemer ,Cambridge,FA,Faculty - Business,09-Aug-15,Full Time,Business,Olu Ebenezer,Doctorate,Doctorate in Business Administration,Business Administration,Arab Academy for Science and Technology and Maritime,"BUS3003 - Managing People &Organisations
BUS1303 - Marketing",Business,Industry and Teaching experience
275,LT9255309,Codi Ebarb ,Cambridge,FA,Faculty - Business,14-Oct-12,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,Universityersity of Madras,"BUS2003 - Business and Commercial Law
BSD2213 - Retail Customer Service
BSD1243 - Retail Operations",Management,Industry and Teaching experience
276,LT9157082,Jeanne Espinoza ,Cambridge,FA,Faculty - Business,02-Aug-09,Full Time,Business,Olu Ebenezer,Doctorate,Ph.D in Business Administration,Business Administration,Swiss Management Center,"BUS3903 - Contemporary Business
BUS1403 - Business Ethics and Corporate
BUS1003 - Management and Leadership",Management,Industry and Teaching experience
277,LT9307987,Bobbie Brazil ,Cambridge,FA,Faculty - Business,09-Aug-15,Full Time,Business,Olu Ebenezer,Ph.D,Doctorate in Business Administration,Business Administration,Università degli Studi di Ferrara,,Business,Industry and Teaching experience
278,LT0000000,Lorine Lawalin ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Ph.D In Middle eastern and Islamic Studies,Islamic Nanking and Finance,"Durham Universityersity, UK","Islamic Risk Management, Islamic Portfolio Management, Islamic Banking Operations, Islamic Finance ",Finance and Islamic Finance ,Researcher or Curriculum Development
279,LT0000000,Cami Wiegand ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Economics and Business,Economics,"South East European Universityersity, Macedonia","intro to Economics, EU laws and Regulations, Organizational Behaviour ",Economics or policy and general business course,Researcher
280,LT0000000,Alan Sheely ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Bachelor of Management Science,Marketing,"Universityersity of Economics, Krakow, Poland","Marketing Management, Marketing Research, Consumer Behaviour",Marketing,Researcher or Curriculum Development
281,LT0000000,Allison Gall ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Ph.D in Business Administration,HRM ,"Universityersity of Mauritus, Mauritus","HRM, SHRM, Performance and Reward Management, Research Methodology ",Human Resource Management,Certification or Researcher
282,LT0000000,Myles Tena ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Ph.D in Business Administration,Economic Sociology,"Universityersity of San Paulo, Brazil",Economics and Management ,Financial management or Project management or Entrepreneurial Finance,Researcher
283,LT0000000,Dessie Burruss ,Cambridge,FA,Faculty - Business,14-Aug-16,Full Time,Business,Olu Ebenezer,Ph.D,Ph.D in Public Policy and Administration ,Management and Financial Management,"Virginia Commonwealth Universityersity, USA ","Leadership, Organizational Design and Behaviour, Investments, corporate Finance ",Finance and Management ,Researcher
